65.34.248.51 - - [20/Jan/2013:04:33:29 -0600] "GET /?utm_source=Contextin&utm_term=E4AFE73EA95769781618402254&utm_campaign=19056&utm_content=&utm_medium=0 HTTP/1.1" 200 9983 "-" "Mozilla/5.0 (iPad; CPU OS 6_0_1 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10A523 Safari/8536.25" 625 10246 - 233945
82.166.148.154 - - [20/Jan/2013:06:56:32 -0600] "GET /wp-content/themes/twentytwelve/style.css?ver=3.5 HTTP/1.1" 200 35292 "http://creditcardandloanoffers.com/?utm_source=Contextin&utm_term=_" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:15.0) Gecko/20100101 Firefox/15.0.1" 369 35549 - 640251
82.166.148.154 - - [20/Jan/2013:06:56:32 -0600] "GET /wp-content/uploads/2012/12/stockvault-coins136198-300x161.jpg HTTP/1.1" 200 33151 "http://creditcardandloanoffers.com/?utm_source=Contextin&utm_term=_" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:15.0) Gecko/20100101 Firefox/15.0.1" 397 33410 - 645174
82.166.148.154 - - [20/Jan/2013:06:56:32 -0600] "GET /wp-content/uploads/2012/12/stockvault-credit-card106277-300x199.jpg HTTP/1.1" 200 69800 "http://creditcardandloanoffers.com/?utm_source=Contextin&utm_term=_" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:15.0) Gecko/20100101 Firefox/15.0.1" 403 70060 - 1004677
82.166.148.154 - - [20/Jan/2013:06:56:32 -0600] "GET /wp-content/uploads/2012/12/stockvault-money139084-200x300.jpg HTTP/1.1" 200 130842 "http://creditcardandloanoffers.com/?utm_source=Contextin&utm_term=_" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:15.0) Gecko/20100101 Firefox/15.0.1" 397 131103 - 1145940
82.166.148.154 - - [20/Jan/2013:06:56:35 -0600] "GET /favicon.ico HTTP/1.1" 404 301 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:15.0) Gecko/20100101 Firefox/15.0.1" 534 480 - 143
66.249.75.75 - - [20/Jan/2013:07:56:49 -0600] "GET /robots.txt HTTP/1.1" 404 300 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" 243 479 - 174
71.51.154.195 - - [20/Jan/2013:08:36:51 -0600] "GET /?feed=rss2 HTTP/1.1" 304 - "-" "Mozilla/5.0 (compatible; Genieo/1.0 http://www.genieo.com/webfilter.html)" 291 158 - 122255
180.76.5.154 - - [20/Jan/2013:09:38:15 -0600] "GET /robots.txt HTTP/1.1" 404 300 "-" "Mozilla/5.0 (Windows NT 5.1; rv:6.0.2) Gecko/20100101 Firefox/6.0.2" 199 479 - 174
180.76.5.156 - - [20/Jan/2013:09:38:15 -0600] "GET /robots.txt HTTP/1.1" 404 285 "-" "Mozilla/5.0 (Windows NT 5.1; rv:6.0.2) Gecko/20100101 Firefox/6.0.2" 184 464 - 93
66.249.75.147 - - [20/Jan/2013:10:07:44 -0600] "GET /robots.txt HTTP/1.1" 404 285 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" 262 464 - 168
180.76.5.159 - - [20/Jan/2013:12:36:34 -0600] "GET / HTTP/1.1" 200 10087 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" 214 10350 - 139456
66.249.75.75 - - [20/Jan/2013:16:06:13 -0600] "GET /?m=201212 HTTP/1.1" 200 10083 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" 300 10346 - 136419
75.98.9.254 - - [20/Jan/2013:21:19:21 -0600] "GET /robots.txt HTTP/1.0" 404 300 "-" "Mozilla/5.0 (compatible; Netseer crawler/2.0; +http://www.netseer.com/crawler.html; crawler@netseer.com)" 225 479 - 145
66.249.75.75 - - [20/Jan/2013:21:30:04 -0600] "GET /robots.txt HTTP/1.1" 404 300 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" 277 479 - 173
50.97.37.217 - - [21/Jan/2013:00:00:34 -0600] "POST /wp-cron.php?doing_wp_cron=1358748034.6416540145874023437500 HTTP/1.0" 200 - "-" "WordPress/3.5; http://50.97.37.217" 275 190 - 415166
